N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8125682397185491,0.790886991799574,0.7813242300753603,0.26610978520286394,0.517873144057086,0.3006852022068629
model_2,500,2,1,0.8183913623680699,0.7927176873129635,0.7867534374700693,0.30369928400954654,0.4865903014785733,0.30937554550087004
model_3,500,3,1,0.8351328399854422,0.7632238326545658,0.7887802962879603,0.23329355608591884,0.42416111047857036,0.29816810811070926
model_4,500,1,2,0.8545432488171782,0.8406362350659575,0.8329534262654683,0.3872315035799523,0.6629696523584493,0.4612413683786785
model_5,500,2,2,0.8778357394152614,0.8709340556513941,0.857851140937014,0.4295942720763723,0.8220671738808152,0.556884223218778
model_6,500,3,2,0.8950624772534271,0.8875584891512186,0.8828730723865098,0.5495226730310262,0.7947940155246437,0.6360242851093584
model_7,800,1,2,0.8546645638723765,0.8524517251644392,0.8437220668812173,0.4904534606205251,0.6067952477543881,0.5013568185558562
model_8,800,2,2,0.8538153584859881,0.8836842557721825,0.8607818726207942,0.5847255369928401,0.6666325368002254,0.5867802621072463
model_9,800,3,2,0.9065874074972704,0.9023429308840346,0.9015592189399754,0.6533412887828163,0.7650203788415715,0.6960633810529896
