N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8399854421933762,0.8217364893020231,0.8080946484101493,0.29594272076372313,0.6002547426464835,0.34679846404113984
model_2,500,2,1,0.8290670872255247,0.7966039678770539,0.8092921282752016,0.3597852028639618,0.3958805508526366,0.363052071103437
model_3,500,3,1,0.7789639694286061,0.7782117510597852,0.7715081408079499,0.36754176610978523,0.23926388958284645,0.26968335526533427
model_4,500,1,2,0.8765012738080796,0.8682560448921123,0.8672842864043774,0.5578758949880668,0.5686186392514466,0.538368305610789
model_5,500,2,2,0.8858425330583526,0.8859034279670953,0.8833447094592791,0.6342482100238663,0.6277329632668749,0.6185590139496719
model_6,500,3,2,0.8453233046221036,0.8825190346768365,0.8581886051286434,0.6724343675417661,0.485555707609694,0.5601172109712903
model_7,800,1,2,0.8744389178697076,0.8686749651859504,0.8643412484663854,0.5477326968973747,0.5823177839035624,0.5298026662591376
model_8,800,2,2,0.858304015528327,0.9037631892662659,0.8720713932214083,0.6503579952267303,0.6237291908834066,0.59719962178549
model_9,800,3,2,0.8692223704961786,0.8828508193148139,0.872676866702421,0.6736276849642004,0.5706632657422303,0.6075811880723176
